Title,Date of Reviews,Reviews,Star Rating
Lim Ngok Jun,23-Sep-23,"Banyak penjual tipu menipu. Barang rusak, jual licensi software juga palsu. Ada yg katanya seumur hidup life time tapi setahun di kick dari licensi. Market penuh penipuan. Pihak shopee telah bekerja sama dengan penjual.",Diberi rating 1 bintang dari 5 bintang
AILA F,22-Sep-23,"Hai shopee.. saya tidak belanja ditempat kalian lagi,sekarang banyak tambahan biaya yg gak masuk akal. Ada diskon tapi ttp mahal. Yang aneh itu pake biaya penanganan nya gak kira2. Cinta saya sama kamu sampai disini aja. Kita putus 🤭. Kamu saya hapus dari belanja online saya.bye..",Diberi rating 1 bintang dari 5 bintang
syerenita,23 Oktober 2023,males banget karena tiba² gabisa masuk ke akun katanya ada aktivitas mencurigakan di akunku padahal aku tidak ngapa²in mana lagi ada pesanan yang belum di kirim jadi tidak bisa lihat estimasi kedatangannya,Diberi rating 1 bintang dari 5 bintang
Indra Wahyu,1 Oktober 2023,Bayar tagihan tepat waktu. Limit spaylater nya malah di kurangin..sunguh mengecewakan..kalau ga niat ngasih mening blokir aja..iklan penawaran nya aja banyak..buktinya mengecewakan..,Diberi rating 1 bintang dari 5 bintang
zhulva,23-Sep-23,"Udah biaya layanan mahal bgt bisa sampe 20rb ongkirpun ttp mahal pdhl udh pake gratis ongkir, tempat tujuannya jg di jawa bukan yg luar pulau jawa bukanya tambah murah malah tambah mahal ongkirnya.",Diberi rating 1 bintang dari 5 bintang
Dheny Dhenot,9-Sep-23,"Udah lola.. ini gimna sih aplikasinya??? Masa mau nambahin alamat pengiriman ngga bisa bisa.. sudah diisi, balik kosong lagi.. gitu aja terus !! Udah liat yutub. Udh pusat bntuan. . Sama aja ngga bisa dan ngga ada solusi.. shoope parah .. lemot abis !!",Diberi rating 1 bintang dari 5 bintang
Muhammad tirta Alfarizki,24-Sep-23,"Klaim voucher pengguna pertama,baru mau belanja ,ngga bisa di co katanya terdapat aktifitas mencurigakan ,maksud nya apa coba aneh ,padahal hp baru juga baru bikin akun sope udah dibikin kecewa ,mending belanja di Tokopedia",Diberi rating 1 bintang dari 5 bintang
Rendi Saputra,21-Nov-23,"ada biaya layanan, biaya penanganan, percuma ngasih voucher free ongkir, ujung2nya ada biaya GaJelas yg akhirnya lebih mahal dari ongkir nya sendiri... aplikasi takut miskin, takut bangkrut.. Udah waktunya pindah ke yg Ijo ijo",Diberi rating 1 bintang dari 5 bintang
Ridho Gustavian,27 Oktober 2023,"kesini kesini makin lemot, makin lama... jangan maruk lah shopee mengadakan banyak fitur... minimal di bagi jadi beberapa aplikasi... ini senua fitur di salam 1 aplikasi ya lemot lah",Diberi rating 1 bintang dari 5 bintang
Umiya 155,19-Sep-23,"Aplikasi apaan , dah pakai beberapa tahun , giliran ada promo akunku dibatasi , dan gak bisa di pulihkan . Gak niat banget ngSih promo",Diberi rating 1 bintang dari 5 bintang
EMON HAIRCUT,21-Sep-23,malas suka lelet harus di restart terus aplikasi nya . kadang gambar suka lelet . danpengetukan juga delay nya lama bgt . padahal jaringan bagus . ini penyakit shopee udh lama bgt sering gini,Diberi rating 1 bintang dari 5 bintang
artha adiyana i gede,25-Sep-23,"Aplikasi ini menganggu skali ,, saya sering blanja di shopi tpi klo iklan trus2an kayak gini di tayangkan malahan jadi risih.. Karena hp saya tidak di gunankn untuk blanja dan nonton iklan anda saja, jadi mohon aplikasi anda jangan terus di tayangkan di ponsel saya",Diberi rating 1 bintang dari 5 bintang
Adika pratama,9 Oktober 2023,"Sangat tidak memuaskan saya sudah lama pakai shoppe, tapi balakangan ini saya mendapat ketidak puasn, limit shopepay saya di blokir hanya karna beberapa bulan tidak saya pakai dan saat saya ingin mengaktifkannya susah harus nunggu bulan depan Padahal saya tidak ada tagihan laiin Keluhan ke 2 saya tentang Shopee Iklan nya dimana"" di setiap web kita di paksa nonton iklan Shopee yang sangat mengganggu saat bermain hp jgn sampai iklan Shopee malah bikin orang gak mau pake shopee",Diberi rating 1 bintang dari 5 bintang
Zain Fissama,8-Sep-23,Lama2 ini apk LEMOT!! gue jadi males make nya. Di tap harus berkali2 padahal sinyal bagus emng dasar apk nya Makin ksini makin gak bngt. Maaf ya ngomong jujur! tolong di perbaiki lagi lah ini tadinya gue sllu make ini apk buat blanja gegara lemot jadi males bngt make.,Diberi rating 1 bintang dari 5 bintang
ridwhan zidan,16-Sep-23,"Saya kecewa ekarang pengirimannya lama, proses update pemberitahuan info pengiriman juga lama. Duli sat set biasanya maximal 3 hari sudah datang setelah CO. Sekarang 5 hari bahkan seminggu baru di terima tanpa ada update info pengiriman.",Diberi rating 1 bintang dari 5 bintang
Ieien Gemini,11-Nov-23,"Aplikasi Shopee aku gak bisa di buka, padahal udah ku un instal trus ku download Sampek berkali"" ttep aja gak bisa",Diberi rating 1 bintang dari 5 bintang
NekoBoy,2-Nov-23,"Ganti saja expedisi SPX dengan expedisi lain, pengiriman sangat lelet, sudah 3 hari sejak tanggal pembelian, paket belum juga datang, di expedisi lain hanya butuh waktu 2 hari saja.",Diberi rating 1 bintang dari 5 bintang
M. Aldiansyah,1 Oktober 2023,"Kenapa sih tidak bisa login terkendala saat verifikasi wajah,shopee tolong lah di perbaiki masalahnya,penanganan nya lama udah di lapor kendalanya tapi tidak ada balasan",Diberi rating 1 bintang dari 5 bintang
Yunus Baihaqi,2-Nov-23,Kenapa shopee jadi sering diupdate padahal tetep gaada perubahan setelah diupdate hampir 3 kali update dalam 1 minggu,Diberi rating 1 bintang dari 5 bintang
FelixG,21 Oktober 2023,"woi ini gmnaa, Shopee nya lemot bangt udah berpa hari mau buka apknya cuma ada tanda titik"" udah update hapus cache masi aja memuat terus, udah uninstal berpa kali terus download lagi masi aja gaa bisa lemot bngt pdhl jaringan bgus, saya mau cek pesanan gua ga bisa, tolong kasih solusinya",Diberi rating 1 bintang dari 5 bintang
diki Majong,15-Nov-23,Shopee sekarang uda rusak kebanyaan barng yang di kirim ngak sesuai lagian harga nya sering di tambah uang nya si ngak seberapa tapi cara mu tu na yang kurang,Diberi rating 1 bintang dari 5 bintang
Bob Stak,21-Sep-23,"Beli pulsa pake paylater, transaksinya berhasil tapi pulsanya ga masuk masuk Dan proses penanganan masalahnya lelet Jawabannya itu itu aja Kalo emang di jadikan prioritas, harusnya penanganan masalahnya cepat terselesaikan",Diberi rating 1 bintang dari 5 bintang
Novalina Simbolon,7-Sep-23,"Udah 1 hari ini tidak bisa buka akun shoppee ku, kedap kedip terus, tidak bisa dibuka, sangat terganggu, gak bisa belanja, dan tidak bisa lihat pantau barang pesanan saya, tolong diperbaiki aplikasinya segera, udh 1 harian rusak. Thanks",Diberi rating 1 bintang dari 5 bintang
raihan assidik,21-Sep-23,"Akhir² ini shopee sering lemot dengan kendala jaringan internet,dan padahal data internet saya lancar² saja tetapi setelah saya masuk aplikasinya langsung ada pemberitahuan ""tidak ada internet"" sudah saya coba berkali² tetap saja sama,sampai saya tidak bisa login ke akun shopee saya,tapi setelah melihat live dan shopee vidio lancar saja ,tetapi kenapa setelahingin chekout barang malah lemot,saya harap pihak developer segera mengatasinya.terimakasih",Diberi rating 1 bintang dari 5 bintang
marcel boy,23 Oktober 2023,Bug benerin mau upload g bisa mau CO g bisa. Udah instal ulang 2x masih tetep gini. Kalo bisa buatin Shopee seller khusus buat seller yg jualan kayak toko ijo biar g berat ni aplikasi. Thx admin,Diberi rating 1 bintang dari 5 bintang
021_Muhammad Sandi,19 Oktober 2023,"buriq anying beli barang disini burik semua, yakali pas request pengembalian barang, disuruh nunggu konfirmasi penjual sampe 3 hari, pas di penjual minta barang bukti lain, si pembeli di kasih waktu cuman 1 hari buat kirim barang bukti, kan tolol 1 hari doang dikira gue plonga plongo dirumah ga sibuk gitu, blougghh, malah jauh lbih baik ttshop yg bukan apk e-commerce dibanding shopeeler yg apk khusus e-commerce",Diberi rating 1 bintang dari 5 bintang
Muhammad Kurniawan,22 Oktober 2023,"Mau beli makanan lewat shopeefood sekarang mahal sekali, diskon ongkir cuma seribu perak. Buat apa? Mending beli langsung ke tempatnya. Biaya layanan 5 ribu masih kurang buat aplikator? Diatas jam 10 malam ada tambahan biaya lain lain. Tak konsisten",Diberi rating 1 bintang dari 5 bintang
Propita Risyah Effendy MZ Batu Raja,26-Sep-23,"Awalnya enak pake shopee, lama-lama kesininya makin ribet.. Ada biaya penanganan segala.. Dan klo telat bayar kena denda, tiap hari di telponin bisa sampai puluhan kali.. Giliran udah di bayar cicilannya beserta dendanya, Spaylater nya malah gak non aktifkan... padahal baru telat bayar 1 kali. Tau gitu mendingan gak usah di bayar sekalian aja.",Diberi rating 1 bintang dari 5 bintang
delisa alzahra,24 Oktober 2023,"Makin kesini makin buruk layanan pengiriman.pesan 3 barang di toko berbeda,1 hilang saat pengantaran.1 lagi gk sampai2.akhirnya dikembalikan ke pengirim. Yg satu sampai tpi lebih dari jadwal yg di tentukan",Diberi rating 1 bintang dari 5 bintang
Singgih Nurwantoro,2 Oktober 2023,"Aplikasi sering lemot. Penjual wajib melakukan video packing, agar tidak terjadi penipuan. Jadi tidak hanya pembeli saja yang melakukan video unboxing.",Diberi rating 1 bintang dari 5 bintang
Dunia Ngakak,15 Oktober 2023,"Hapus AJA jasa kirim SPX dari pihak shopee,menyusahkan saja tidak ada gunanya.. Dan kembalikan aplikasinya seperti yg dulu,yg bisa memilih jasa kirim sendiri... Asli gak ada gunanya SPX,,SUDAH BANYAK juga keluhan pengguna shopee atas adanya jasa kirim dari pihak shopee yaitu SPX",Diberi rating 1 bintang dari 5 bintang
Andri Rs,20-Sep-23,"K enpa Shopapaylater gak naik naik limitnya,malah susah untuk di tingkatkan limit padahal pembayaran gak pernah telat, dan spinjam nya sama gak bisa digunakan 😭",Diberi rating 1 bintang dari 5 bintang
Can Tika,22-Nov-23,Shopee making ksini makin g bagus masak g bisa pake voucher pengguna baru malah kalo di terusin cek out akun nya malah di blokir gmna sih makin g suka sama shopee dulu suka bnget skarang malah makin g jelas tolong y di prbaiki lagi udh itu dulu mks,Diberi rating 1 bintang dari 5 bintang
To Mo,28-Sep-23,saya sudah dua kali.barang pesanan gagal di kirim.padahal dari pagi sudah ada pemberitahuan barang sedang di kirim kealamat tujuan. saya tunggu sampe jam 8 malam gak dateng juga.muncul pemebritahuan lagi.alasannya pembeli menjadwalkan kirim ulang.padahal saya aja nunggu barang tuh datang.tolong di perbaiki kualitas jasa pengiriman. jangan menyalahkan pembeli.,Diberi rating 1 bintang dari 5 bintang
aphrodita rahmawati,12 Juli 2023,"Mending shopee video dihapus aja deh. Bikin tambah lemot. Udah gitu kalau mau live terkadang sering dibilang kalau judulnya mengandung kata2 yang tidak pantas disuruh ganti, padahal menurut saya masih batas wajar. Makin lama aplikasinya makin error. Tiap mau live susahnya minta ampun, mana kadang komen munculnya delay, lebih sering banyak tidak munculnya. Aplikasi sering ngelag, apalagi kalau event. Bikin tidak nyaman. Mana informasi ttg performa live tidak sama. Balikin kyk dulu aja",Diberi rating 1 bintang dari 5 bintang
Rafi Rafi,16-Nov-23,aplikasinya bagus tapi lemot apalagi saat buka shopeepay. tolong untuk aplikasi shopeepay nya di buat versi nya sendiri jangan digabung dengan aplikasi shopee. jadi berat aplikasi shopeepay nya.tolong developer jawab,Diberi rating 1 bintang dari 5 bintang
Bohin Sillet,16-Sep-23,"Tidak bisa memilih jasa kurir ,saat chekout otomatis langsung pake shoppe expres, pake shoppe Expres pesanan nya gagal terus . Sudah 3x paket gak pernah sampai .",Diberi rating 1 bintang dari 5 bintang
AS'03 CHANNEL,15 Oktober 2023,Saya sangat kecewa dengan adanya aplikasi shopee ini karena ada yang memesan paket dengan menggunakan nomor saya. Tolong pihak shopee sebelum penguna shopee memesan pesanan menulis alamat dan nomor hp yang tertera pada alamat tolong pakai kan verifikasi otp konfirmasi pembelian agar tidak ada lagi yang terugikan lagi saya sangat kecewa kalau belum di perbaiki saya tidak akan belanja di shoppie lagi terimakasih.,Diberi rating 1 bintang dari 5 bintang
GIZI_ Nita,29 Oktober 2023,"Pengiriman sangat payah, jarak dari gudang ke rumah hanya 2km, masak 2 hari tidak sampai, bahkan 2x gagal kirim, barang yg kecil2 sudah diterima, yg agak gede gk mau ngirim,. Saya mengajukan ambil sendiri pun juga tidak bisa, Kan aneh",Diberi rating 1 bintang dari 5 bintang
Zahwa Kirana,20-Sep-23,"Parah banget sih akun Shopee.. Lemot.. Kadang buat co gak bisa, tulisan nya m01 apa itu.. Bikin greget.. Tolong di perbaiki sistem nya",Diberi rating 1 bintang dari 5 bintang
fitria sari,19-Sep-23,"Saya turunin bintang 3, soalnya lemot tiap mau liat gambar produk, Ikut progam affiliate uda jualan, tapi tiba2 komisi tdk valid, padahal da sesuai prosedur. Nyebelin banget.",Diberi rating 1 bintang dari 5 bintang
the konyil,27-Nov-23,"Pengiriman spx nya twrlalu lama gk bsa milih ekspedisinya 🥺 ,setiap buka aplikasinya mau belanja lemmott bangettt dan akun dibatasii mksutnya apa mana ongkir mahal biaya penanganannya 50rb sendiri 😭😭 tolong dong diperbaiki jangan curang",Diberi rating 1 bintang dari 5 bintang
Nana Taryana,11-Sep-23,"Banyak sekali yg kasih bintang 1,, Saya juga bintang 1,terlanjur kesal Daftar spaylater gagal,spinjam juga tidak tersedia,,udah isi data dengan sebaik mungkin,,awas aja data² saya di salah gunakan semua sudah tercangkup di dalam gmail,,,",Diberi rating 1 bintang dari 5 bintang
Hetty,11-Sep-23,"Sejak 2019 akun saya dibekukan sepihak, cashback terakhir ga saya terima dan sisa cashback saya dihapus oleh shopee, sudah melakukan klarifikasi via email smp kirim ektp dan kartu keluarga asli ttp ga ad solusi. Mau hapus akun malah skrg ga bisa.. peraturannya diupdate terus, sdgkan saya masih bs chat dg CSnya smp detik ini. Asli ga jelas ini applikasi.. CS nya robot smua kali ya.. ga ad yg bisa dihubungi via telphone & menyelesaikan masalah.. Thanks.",Diberi rating 1 bintang dari 5 bintang
Muhammad Syafi'i 137,29 Oktober 2023,"Coba pas mau nyampe di alamat tujuan ada nomor kurirnya biar enak bisa di chat,gak kayak gini lama nunggu kurir nya dateng ke alamat tujuan.",Diberi rating 1 bintang dari 5 bintang
Riki Yansah,4 Oktober 2023,"Aplikasinya aneh gua buka fb lancar aja, tapi kalo buka Shopee kadang gak lancar banyak penipuan dan juga kalau kita nyari barang ini keluarnya barang yg gak kita cari, jadi gak mau belanja di sini,",Diberi rating 1 bintang dari 5 bintang
Lifah aaskhhh,7 Oktober 2023,"Halo... Mau melakukan pembayaran aja susah minta ampun, mau isi saldo shopeepay juga gk bisa nunggu download fitur bla bla bla... Jaringan tidak stabil buat aplikasi yg notabandnya video aja lancar saja ... Aneh mau lapor cs pun gk bisa cuma bisa buat search doang",Diberi rating 1 bintang dari 5 bintang
Syarial Yusuf Djaelani,20 Oktober 2023,Halo shopee kenapa stelah diperbarui kok aplikasi nya tidak bisa dibuka ya? Udh saya coba 2 hari tetap sama di aplikasinya kelap kelip gitu Mulu 😭😭padahal sinyal kouta saya dibuat buka youtube dan download lancar banget 🤔 Jujur lebih suka yg versi lama meskipun lemot banget pas dibuka tapi masih bisa digunakan,Diberi rating 1 bintang dari 5 bintang
Siti Mas'ulah,21 Oktober 2023,Kenapa gk bisa login karena verifikasi nya hanya ada wajah saja... Dicoba berulang kali tetap gk bisa login. Masa iya harus bikin akun baru lagi🫣🫣🫣 Help min,Diberi rating 1 bintang dari 5 bintang
Ade Khopip,24-Nov-23,aplikasi aneh telat Mulu setiap memesan gak sesuai yang di harapkan mending hapus aja lah gak sesuai yang di iklankan mending gak di kasih bintang,Diberi rating 1 bintang dari 5 bintang
Ginar Wahyuni,10 Oktober 2023,"Sangat kecewa karna menjadikan pelanggan yg sudah lama dan tdk pernah ada masalah apapun untuk menjadi PENAGIH ,akun shope tiba tiba dibekukan tidak bisa transaksi apapun dengan alasan sya mengenal si penunggak padahal itu bukan urusan saya",Diberi rating 1 bintang dari 5 bintang
Lulu Fatihah,28-Sep-23,"Kenapa jadi lemot ya? sorry banget, jangan bilang karena sinyal, saya buka aplikasi yang lain lancar lancar aja. Tapi giliran buka shopee jadi sangat lemot.",Diberi rating 1 bintang dari 5 bintang
Della Fityanah,7 Oktober 2023,"Parah banget makin kesini, lemotnya minta ampun meskipun sudah di upadte, gratis ongkir yg dulu 30 rbu sekrng 40 kadang belanja lebih dr 40 masih ada ongkir separo, shoppe sekrng game bubble nya eror terus jaringan bagus ttp aja kaya gtu makin kesini makin ga bagus",Diberi rating 1 bintang dari 5 bintang
Fahmi Danish,24-Sep-23,"Asli kecewa banget sama SHOPEE.. padahal saya sering belanja di SHOPEE tapi saya mengajukan PAYLATER tdk pernah di ACC/DI TOLAK TERUS.Padahal,saya pengguna lama SHOPEE bukan dpt pelayanan terbaik..ini malahan di bikin kecewa.. dengan terpaksa sekali saya kasih bintang 1 aja..oke..!!",Diberi rating 1 bintang dari 5 bintang
Kelvin Novantio Taslim,4-Nov-23,"Kepada Shopee. Tolong untuk Kota Palembang penjual jangan dipaksa pakai shopee express. Jujur posisi kantor shopee yang terima drop barang di Palembang itu hanya 1 (kantor spx lain tolak tidak bisa drop) dan posisinya jauh diujung kota. Jika tidak percaya silakan baca review shopee express Palembang di googlemap. Benar-benar kecewa saya dengan aturan harus aktif shopee express. Kalau j&t tidak masalah, Palembang setiap jalan pasti ada 1 drop point. Tolong dievaluasi lagi aturan itu, Terima kasih",Diberi rating 1 bintang dari 5 bintang
Dody Dermawan,25-Sep-23,Parah sih ini. Klo ada kiriman paket fiktif mengatas namakan sndiri. Sangat sulit untuk proses retur nya.. tau sndiri klo paket Dateng mau ga mau kita harus bayar. Klo nolak pasti kurir nya bilang saya cuma ngantar pak..,Diberi rating 1 bintang dari 5 bintang
pita,21-Sep-23,KECEWA BANGET ! paket udah di jalan 1 minggu TAPI ga sampe2 tiba2 d batalkan dan di kembalikan ke penjual . Saya sudah menunggu lama malah gini . PARAH SHOPEE EXPRESS,Diberi rating 1 bintang dari 5 bintang
User 240,25-Nov-23,"Shopee tidak bertanggung jawab ke user. ANTERAJA ngulah barang ga sampai dan dikembalikan ke seller dibilang buyer yang ga mau cod. Kurir SPX juga ga ada modal kuota, nge wa lalu pergi tanpa menelepon. Hilang sudah kesempatan saya cod. Ga lagi pakai shopee dan anteraja. Busuk dan ga profesional",Diberi rating 1 bintang dari 5 bintang
Vinka Aqilah,14-Sep-23,"Lemoottnyaaaaa sekarang aplikasi ini,udah di upgrade, sinyal oke, hp oke... Cod pake biaya penanganan dan biaya2 lainya.. Semoga kedepannya lebih lebih lebih meringankan lg untuk biaya2 lain itu. 🙏😌",Diberi rating 1 bintang dari 5 bintang
Ahmad Faisol,7 Oktober 2023,Saya punya alasan knp kok kasih satu karna saya tidak suka sama iklan shopee. Karna mengganggu saat saya bermain game / WA. Cukup dari saya pesan terakhir saya (lebih baik hapus iklan shopee),Diberi rating 1 bintang dari 5 bintang
Abdoel Aziz,15-Sep-23,"Nggak bisa kontak langsung, jadi setiap ada permasalahan sangat² lambat respon, apalagi penyelesaiannya, parah !!! Contoh nih : Kenapa mesti ada limit belanja,...?, percuma kalian promo kemana mana, kalo mesti ada peringatan ""pembelian anda mencapai batas maximum,...?"" Masalah kayak gini kemana nyampeinnya ? Bahkan sebodoh bodoh orang dalam berdagangpun nggak akan membatasi pembelian, kecuali stock habis. Kacau !!!",Diberi rating 1 bintang dari 5 bintang
Desi sivatul zanah,8-Nov-23,"shopee kenapa paket saya muter"" terus cakung-tangerang-cakung dan terlalu sering melewati batas waktu estimasi pengiriman. aplikasi nya juga sering lemot",Diberi rating 1 bintang dari 5 bintang
Dinda Pertiwi,4 Oktober 2023,"Aku mau bayar paylater ,tp udh beberapa kali di coba slalu internet tidak terhubung atau tersedia. Aku pake xL 70gb jg gak bisa Aku pake Simpati 10gb tetap gak bisa Aku pake wifi di rumah gk bisa juga Aku deketin lg ke konektor wifi ny biar sinyal full ,tetap gk bisa juga Kenapa di persulit mw bayar paylater doang tuh ???",Diberi rating 1 bintang dari 5 bintang
Damar Wicaksono,13-Sep-23,"Pelayanan Shopee Express sangat buruk. Pengiriman yg biasanya cuma 3 hari ini bisa sampe 7 hari, dah gitu pengiriman gagal alasanya konsumen tidak dapat dihubungi padahal gak ada telpon atau wa masuk dan begitu terulang sampe 2x. Dan dikomplen lewat iG Offcial juga gak ada respon. Bad banget..",Diberi rating 1 bintang dari 5 bintang
Internet Payment,7 Oktober 2023,"shopee xpress parah, gak niat nih bikin jasa ekspedisinya........ bukan masalah resah. Lamanya ituloh, masa udah 3 hari statusnya baru gerak ke alamat kota tujuan. ecommerce sebelah cuma 1 hari satu malam paket tiba depan pintu, sama pake ekspedisi sendiri. evaluasilah......",Diberi rating 1 bintang dari 5 bintang
Aditya Frediansyah,8-Sep-23,"Saya ingin menyampaikan keluhan saya di aplikasi Shopee ini Bahwa aplikasi Shopee ini saya tidak bisa menambahkan alamat rumah saya, mau lihat keamanan akun saya tidak bisa pokoknya hampir semua itu tidak bisa dibuka, kecuali untuk pencarian barang itu bisa dipakai untuk mencari barang. Padahal handphone saya itu sudah versi android 13, ram 8 GB, penyimpanan besar di atas 100 GB. Tetapi masih tidak bisa. Tolong, pihak aplikasi Shopeenya diperbaiki ini aplikasi nya ya🙏 Itu saja, terima kasih 🙏",Diberi rating 1 bintang dari 5 bintang
Ratu Farisa,20-Sep-23,Slalu datang ke alamat mengalami keterlambatan melebihi tanggal estimasi tolong pengiriman spx dipercepat jangan di diamkan di gudang mau ke alamat tujuan!!! Burukkkk sekali sekarang bagian pengiriman nya gasuka.,Diberi rating 1 bintang dari 5 bintang
I Gede Restu Santika I9IO2O7O,7 Oktober 2023,"Proses pengiriman shopee express di area bali sangat lambat barang 3 hari sudah di hub Denpasar tidak kunjung di kirim ke lokasi, bahkan ada yang sampai seminggu. Alasan selalu overload. Manajemen kerja kurang bagus, distribusi pengiriman jadi terlambat.",Diberi rating 1 bintang dari 5 bintang
Firman Firmansyah,16-Sep-23,"Ada kesalahan.ni gmn ya..sy sudah kirim barang di kemas terus sudah 1 Minggu blom di kirim jg...di cek yg punya tokoh sudah nggk bisa..uang sudah di kirim pje indomaret..180 lebih..jadi ap kah uang bisa kembali kalo di batal kn.tolong jwb🙏shopi,.",Diberi rating 1 bintang dari 5 bintang
pijol pijol,27-Nov-23,Penjual dari luar negri kenapa pada hilang. Padahal saya selalu beli dari luar negri barangnya bagus bagus.,Diberi rating 1 bintang dari 5 bintang
Syarief Hidayatullah,9-Nov-23,"Maaf untuk Shopee expres pengiriman nya selalu lama,, malah d suruh clear cache dan perbarui aplikasi, jelas jelas SPX yg lemot, jasa kirim lain cepet2.! Ga harus clear cache",Diberi rating 1 bintang dari 5 bintang
Adam Options,5-Sep-23,"ekomer terlemot. sekarang aplikasi makin berat.. di upgrade malah banyak bug. pasti balasan dari cs "" pastikan jaringan stabil""",Diberi rating 1 bintang dari 5 bintang
Vck Artryy,14 Oktober 2023,"semakin lama shoope semakin ribet, mau top up shoopepay di indo/alfa aja ada biaya admin, dulu gaada, kalau mau gratis ongkir juga ada biaya penanganan, biaya admin atau apalah itu, semakin sekarang semakin mahal"" shopee. aplikasi juga kadang ngelag padahal jaringan lancar.",Diberi rating 1 bintang dari 5 bintang
hasan basri,23 Oktober 2023,"perbaiki shopee pay mu,,,gangguan dan trllu banyak aturan,,,orng mau transaksi d persulit,,,kirim dana aja lama,,,kendala sistem lah,,,eror lah,,,gk usah jdi agen transfer klo transaksi keuangan orang trgganggu. transfer sllu gangguan. rendam da uang ogang d aplikasi u.",Diberi rating 1 bintang dari 5 bintang
Yus trini,21-Sep-23,"Aplikasi sering eror, lemot dan ga bisa dibuka. Terlalu banyak printilan kecil-kecil. Kebanyakan games bikin makin eror. Susah belanja di sini",Diberi rating 1 bintang dari 5 bintang
Mbagk Mey,6-Nov-23,Tolong dong aplikasi nya di perbaiki lagi.. Banyak toko penipu di aplikasi ini... Yg datang malah baju bekas.. Gak sesuai foto,Diberi rating 1 bintang dari 5 bintang
Arif Fahmi,23-Nov-23,"Setelah di-update lemooooooot, gimana mau belanja kalo kayak begini, tiap pencarian barang gak muncul muncul",Diberi rating 1 bintang dari 5 bintang
KM100T OFFICIAL,30 Oktober 2023,paket sudah lama sampe di kota tujuan. Tetapi kurir dan pelayanan shope expres tdk mau mengantarkan paket nya. Pembeli sudah 4 x dtg ke kantor shopee express. Tetapi tdk pula di kasih paket nya. Benar2 sangat mengecewakan,Diberi rating 1 bintang dari 5 bintang
Eko Prayitno,23-Sep-23,Limit kredit dinonaktifkan..sampai kapan..sampai kiyamat..bayar telat cuman diakhir bulan saja semua dinonaktifke spaylater dan spinjam...kecewa banget..padahal saya pengguna sejak 2017...aaasssuu..,Diberi rating 1 bintang dari 5 bintang
Agam Yupi Nugroho,27 Oktober 2023,"Jelek! Jaringan bagus masih gagal aja download fitur nya... Dari pada nyusahin kek gini, mending jadiin satu aja file nya... Tidak apa meskipun tembus satu giga yang penting jangan nyusahin",Diberi rating 1 bintang dari 5 bintang
Syahrul,30-Sep-23,"Adik adik jangan belanja online disini ya. Karena konsumen tidak mendapat pembelaan dari pihak shopee saat pengajuan retur barang sehingga tidak dapat melakukan retur jika barang palsu dan banyak seller kosmetik, elektronik, obat yang menjual barang palsu. Sekian terimakasih. ❗",Diberi rating 1 bintang dari 5 bintang
Syari putik,29-Sep-23,"Kenapa di samsung A54 5G saya aplikasi shopee tidak bisa dibuka, saat dibuka hanya beekedip warna merah. Sudah saya coba instal ulang tapi hasil masih sama. Minta tolong segera diperbaiki pada aplikasi shopee 10.10 trimakash",Diberi rating 1 bintang dari 5 bintang
Jadul MVF,25 Oktober 2023,Kak tolong di perbaiki pengiriman barangnya. Kayak tiktok shop kan. Paket kalau di antar 3-5 hari nyampai tapi di shope lama sekali. Kalau tikto 3 hari nyampe ini 11 hari baru nyampai,Diberi rating 1 bintang dari 5 bintang
Muhamad fiqih Austin,20-Sep-23,"Aga lain memang shopee ini makin kesini makin mundur pengiriman lama banget. Ongkir jg lebih mahal di banding yg lain, kerja sama sama sicepat tp kurirnya pada kurang ajar kadang paket di bolongin di liat isinya atau di ambil, pake spx lamanya setengah mampus",Diberi rating 1 bintang dari 5 bintang
Riski Hermawan,7-Nov-23,"Udah beberapa kali barang tidak terkirim padahal barang urgent sekali, mohon pihak shopee menertibkan pihak jasa pengantaran khususnya ANTERAJA yg sudah 2x tidak mengantarkan nya..terimakasih",Diberi rating 1 bintang dari 5 bintang
Ahmad Id,11-Sep-23,Lama lama shopee kok error..udah di update kok masih sama aja..pengiriman barang macet di tengah jalan..padahal barang nya sudah sampe dirumah..bikin pusing orang lama lama ini aplikasi.gak sinkron sama waktu estimasi pengiriman,Diberi rating 1 bintang dari 5 bintang
indahkesuma gafar,20-Nov-23,"ngeri juga belanja di disini karena banyak toko"" yg ngirim barang palsu tapi masih aja tokonya dibuka. kalau belanja mesti di toko official",Diberi rating 1 bintang dari 5 bintang
Sumber Rejeki,17-Sep-23,"Untuk sekarang performa shope nurun,mulai dari apk nya yang jadi berat,terus pelayan dari sebagian toko lambat,dan pengiriman untuk jasa kirim jadi lama banget",Diberi rating 1 bintang dari 5 bintang
Daudy Hidayat,24-Sep-23,"Gak suka lg belanja di shope,gara gara kurir shope expres lemot nya minta ampun,udh di hubungin pihak shope nya malah gak dibantu,barang masih di tahan udh lewat masa pengiriman 3 hari lg,belum juga nyampe,mending di toko sebelh aja dh belanja nya gwe uninstal aja nih app",Diberi rating 1 bintang dari 5 bintang
